CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Classe;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
32.785.497/0001-97;2024-12-31;8;142139;Liderança;360;259;0;0;0
32.785.497/0001-97;2024-12-31;8;142139;Não-liderança;4153;2910;0;0;3
33.000.167/0001-01;2024-12-31;12;142082;Liderança;237;605;0;0;3782
33.000.167/0001-01;2024-12-31;12;142082;Não-liderança;953;2918;17;0;31701
33.035.536/0001-00;2024-12-31;3;139959;Liderança;7;13;0;0;0
33.035.536/0001-00;2024-12-31;3;139959;Não-liderança;28;44;0;0;10
33.041.260/0652-90;2024-12-31;6;141702;Liderança;490;994;0;0;0
33.041.260/0652-90;2024-12-31;6;141702;Não-liderança;16900;19574;0;0;0
33.042.730/0001-04;2024-12-31;3;141349;Liderança;234;1336;0;0;0
33.042.730/0001-04;2024-12-31;3;141349;Não-liderança;6423;21041;0;0;0
33.050.071/0001-58;2024-12-31;4;142029;Liderança;23;98;0;0;0
33.050.071/0001-58;2024-12-31;4;142029;Não-liderança;250;1280;0;0;0
33.050.196/0001-88;2024-12-31;3;141684;Liderança;47;185;0;0;0
33.050.196/0001-88;2024-12-31;3;141684;Não-liderança;516;2892;0;0;0
33.102.476/0001-92;2024-12-31;2;140723;Liderança;0;2;0;0;0
33.102.476/0001-92;2024-12-31;2;140723;Não-liderança;11;10;0;0;0
33.113.309/0001-47;2024-12-31;5;141753;Liderança;65;156;0;0;0
33.113.309/0001-47;2024-12-31;5;141753;Não-liderança;1062;1246;0;0;0
33.130.691/0001-05;2024-12-31;5;141648;Liderança;104;245;0;0;1
33.130.691/0001-05;2024-12-31;5;141648;Não-liderança;702;2860;2;0;6
33.200.049/0001-47;2024-12-31;3;141565;Liderança;20;33;0;0;0
33.200.049/0001-47;2024-12-31;3;141565;Não-liderança;143;236;0;0;0
33.228.024/0001-51;2024-12-31;3;141608;Liderança;0;0;0;0;133
33.228.024/0001-51;2024-12-31;3;141608;Não-liderança;0;0;0;0;813
33.256.439/0001-39;2024-12-31;2;141230;Liderança;439;850;0;0;0
33.256.439/0001-39;2024-12-31;2;141230;Não-liderança;2779;5661;0;0;0
33.352.394/0001-04;2024-12-31;3;141295;Liderança;197;355;0;0;0
33.352.394/0001-04;2024-12-31;3;141295;Não-liderança;279;2224;0;0;0
33.376.989/0001-91;2024-12-31;10;141942;Liderança;16;38;0;0;0
33.376.989/0001-91;2024-12-31;10;141942;Não-liderança;162;164;0;0;0
33.386.210/0001-19;2024-12-31;1;138487;Liderança;4;7;0;0;0
33.386.210/0001-19;2024-12-31;1;138487;Não-liderança;109;184;0;0;0
33.453.598/0001-23;2024-03-31;21;141260;Liderança;663;1585;0;0;0
33.453.598/0001-23;2024-03-31;21;141260;Não-liderança;6981;34392;0;0;0
33.467.572/0001-34;2024-12-31;1;138305;Liderança;6;37;0;0;0
33.467.572/0001-34;2024-12-31;1;138305;Não-liderança;57;249;0;0;0
33.541.368/0001-16;2024-12-31;4;141872;Liderança;30;124;0;0;0
33.541.368/0001-16;2024-12-31;4;141872;Não-liderança;328;1861;0;0;0
33.572.408/0001-97;2024-12-31;3;139642;Liderança;111;374;0;0;0
33.572.408/0001-97;2024-12-31;3;139642;Não-liderança;856;6973;0;0;0
33.592.510/0001-54;2024-12-31;8;142079;Liderança;1212;4152;0;0;0
33.592.510/0001-54;2024-12-31;8;142079;Não-liderança;15086;46357;0;0;0
33.611.500/0001-19;2024-12-31;4;142120;Liderança;1186;3363;0;0;2
33.611.500/0001-19;2024-12-31;4;142120;Não-liderança;3407;22216;0;0;2
33.839.910/0001-11;2024-12-31;5;142050;Liderança;547;111;0;0;0
33.839.910/0001-11;2024-12-31;5;142050;Não-liderança;3966;441;0;0;0
33.938.119/0001-69;2024-12-31;2;141267;Liderança;42;42;0;0;0
33.938.119/0001-69;2024-12-31;2;141267;Não-liderança;78;133;0;0;0
33.958.695/0001-78;2024-12-31;4;141660;Liderança;39;172;0;0;0
33.958.695/0001-78;2024-12-31;4;141660;Não-liderança;178;1016;0;0;0
34.169.557/0001-72;2024-12-31;1;138626;Liderança;0;3;0;0;0
34.169.557/0001-72;2024-12-31;1;138626;Não-liderança;0;3;0;0;0
34.274.233/0001-02;2024-12-31;7;141509;Liderança;74;213;0;0;0
34.274.233/0001-02;2024-12-31;7;141509;Não-liderança;966;2268;0;0;0
35.727.157/0001-06;2024-12-31;2;139116;Liderança;1;0;0;0;0
35.727.157/0001-06;2024-12-31;2;139116;Não-liderança;4;42;0;0;0
35.791.391/0001-94;2024-12-31;2;138913;Liderança;25;129;0;0;0
35.791.391/0001-94;2024-12-31;2;138913;Não-liderança;477;1395;0;0;0
36.542.025/0001-64;2024-12-31;3;139728;Liderança;54;115;0;0;0
36.542.025/0001-64;2024-12-31;3;139728;Não-liderança;579;1575;1;1;1
37.663.076/0001-07;2024-12-31;9;142049;Liderança;30;78;0;0;0
37.663.076/0001-07;2024-12-31;9;142049;Não-liderança;181;381;0;0;0
37.702.340/0001-74;2024-12-31;1;138788;Liderança;52;37;0;0;0
37.702.340/0001-74;2024-12-31;1;138788;Não-liderança;347;153;0;0;0
38.199.406/0001-18;2024-12-31;4;141736;Liderança;0;24;0;0;0
38.199.406/0001-18;2024-12-31;4;141736;Não-liderança;42;368;0;0;23
38.307.135/0001-77;2024-12-31;3;140951;Liderança;0;0;0;0;0
38.307.135/0001-77;2024-12-31;3;140951;Não-liderança;0;0;0;0;0
38.456.921/0001-36;2024-12-31;3;139851;Liderança;92;142;0;0;0
38.456.921/0001-36;2024-12-31;3;139851;Não-liderança;1218;855;0;0;0
39.115.514/0001-28;2024-12-31;2;141357;Liderança;111;374;0;0;0
39.115.514/0001-28;2024-12-31;2;141357;Não-liderança;856;6973;0;0;0
39.346.861/0350-38;2024-12-31;2;139295;Liderança;307;570;0;0;0
39.346.861/0350-38;2024-12-31;2;139295;Não-liderança;9187;9090;0;0;0
39.580.673/0001-01;2024-12-31;1;138717;Liderança;27;65;0;0;0
39.580.673/0001-01;2024-12-31;1;138717;Não-liderança;145;397;0;0;0
40.159.947/0001-64;2024-12-31;5;142090;Liderança;33;155;0;0;0
40.159.947/0001-64;2024-12-31;5;142090;Não-liderança;511;1510;0;0;0
40.263.170/0001-83;2024-12-31;2;139542;Liderança;159;388;0;0;0
40.263.170/0001-83;2024-12-31;2;139542;Não-liderança;1599;8509;0;0;0
40.337.136/0001-06;2024-12-31;4;142077;Liderança;6;2;0;0;0
40.337.136/0001-06;2024-12-31;4;142077;Não-liderança;10;6;0;0;0
40.593.395/0001-06;2024-12-31;2;139167;Liderança;0;3;0;0;0
40.593.395/0001-06;2024-12-31;2;139167;Não-liderança;0;0;0;0;1
41.052.420/0001-07;2024-12-31;1;138750;Liderança;378;999;0;0;0
41.052.420/0001-07;2024-12-31;1;138750;Não-liderança;3399;13791;0;0;0
41.096.674/0001-19;2024-12-31;3;138944;Liderança;55;156;0;0;0
41.096.674/0001-19;2024-12-31;3;138944;Não-liderança;575;795;0;0;0
41.886.692/0001-02;2024-12-31;3;139416;Liderança;4;6;0;0;0
41.886.692/0001-02;2024-12-31;3;139416;Não-liderança;158;151;0;0;0
42.150.391/0001-70;2024-12-31;3;141456;Liderança;324;661;0;0;0
42.150.391/0001-70;2024-12-31;3;141456;Não-liderança;1938;5646;0;0;0
42.233.757/0001-75;2024-12-31;1;138530;Liderança;0;2;0;0;0
42.233.757/0001-75;2024-12-31;1;138530;Não-liderança;0;0;0;0;1
42.278.291/0001-24;2024-12-31;5;141857;Liderança;31;83;0;0;0
42.278.291/0001-24;2024-12-31;5;141857;Não-liderança;264;735;0;0;0
42.278.473/0001-03;2024-12-31;2;139201;Liderança;90;83;0;0;52
42.278.473/0001-03;2024-12-31;2;139201;Não-liderança;540;347;4;0;407
42.331.462/0001-31;2024-12-31;2;138877;Liderança;2;4;0;0;0
42.331.462/0001-31;2024-12-31;2;138877;Não-liderança;18;27;0;0;0
42.500.384/0001-51;2024-12-31;11;141618;Liderança;38;67;0;0;0
42.500.384/0001-51;2024-12-31;11;141618;Não-liderança;104;173;0;0;0
42.737.954/0001-21;2024-12-31;7;141666;Liderança;221;407;0;0;0
42.737.954/0001-21;2024-12-31;7;141666;Não-liderança;1458;1985;0;0;0
42.771.949/0001-35;2024-12-31;5;139889;Liderança;275;141;0;0;0
42.771.949/0001-35;2024-12-31;5;139889;Não-liderança;3482;1148;0;0;0
43.283.811/0001-50;2024-12-31;1;137921;Liderança;171;350;0;0;0
43.283.811/0001-50;2024-12-31;1;137921;Não-liderança;2012;2267;0;0;0
43.470.988/0001-65;2024-12-31;4;142131;Liderança;40;56;0;0;0
43.470.988/0001-65;2024-12-31;4;142131;Não-liderança;232;321;0;0;0
43.513.237/0001-89;2024-12-31;7;142084;Liderança;123;260;0;0;0
43.513.237/0001-89;2024-12-31;7;142084;Não-liderança;1028;1805;0;0;0
43.776.517/0001-80;2024-12-31;10;142147;Liderança;149;424;0;0;0
43.776.517/0001-80;2024-12-31;10;142147;Não-liderança;2038;8559;0;0;0
43.948.405/0001-69;2024-12-31;1;138278;Liderança;270;168;0;0;0
43.948.405/0001-69;2024-12-31;1;138278;Não-liderança;6562;1876;0;0;0
45.242.914/0001-05;2024-12-31;3;141338;Liderança;652;353;2;5;133
45.242.914/0001-05;2024-12-31;3;141338;Não-liderança;9050;4093;72;89;1556
45.365.558/0001-09;2024-12-31;3;141541;Liderança;0;0;0;0;273
45.365.558/0001-09;2024-12-31;3;141541;Não-liderança;0;0;0;0;1049
45.453.214/0001-51;2024-12-31;2;139214;Liderança;111;269;0;0;0
45.453.214/0001-51;2024-12-31;2;139214;Não-liderança;1871;1667;0;0;0
45.987.245/0001-92;2024-12-31;2;139465;Liderança;135;66;0;0;0
45.987.245/0001-92;2024-12-31;2;139465;Não-liderança;1641;780;0;0;0
46.119.855/0001-37;2024-12-31;3;142041;Liderança;45;89;0;0;0
46.119.855/0001-37;2024-12-31;3;142041;Não-liderança;350;1574;0;0;0
46.573.272/0001-81;2024-12-31;1;137359;Liderança;31;38;0;0;0
46.573.272/0001-81;2024-12-31;1;137359;Não-liderança;539;230;0;0;0
47.508.411/0001-56;2024-12-31;16;141737;Liderança;430;636;0;0;0
47.508.411/0001-56;2024-12-31;16;141737;Não-liderança;20497;18415;0;0;0
47.960.950/0001-21;2024-12-31;3;141146;Liderança;934;1487;1;3;35
47.960.950/0001-21;2024-12-31;3;141146;Não-liderança;16088;16764;12;1310;461
49.263.189/0001-02;2024-12-31;1;138799;Liderança;31;37;0;0;0
49.263.189/0001-02;2024-12-31;1;138799;Não-liderança;147;70;0;0;0
49.669.856/0001-43;2024-12-31;1;138690;Liderança;271;96;0;64;1
49.669.856/0001-43;2024-12-31;1;138690;Não-liderança;2249;758;4;283;44
50.564.053/0001-03;2024-12-31;5;141843;Liderança;38;93;0;0;0
50.564.053/0001-03;2024-12-31;5;141843;Não-liderança;631;1620;0;0;0
50.746.577/0001-15;2024-12-31;5;141352;Liderança;27;19;0;0;0
50.746.577/0001-15;2024-12-31;5;141352;Não-liderança;56;40;0;0;0
50.926.955/0001-42;2024-12-31;2;140852;Liderança;326;660;0;0;0
50.926.955/0001-42;2024-12-31;2;140852;Não-liderança;8756;8257;0;0;0
51.128.999/0001-90;2024-12-31;2;141768;Liderança;5;15;0;0;0
51.128.999/0001-90;2024-12-31;2;141768;Não-liderança;28;163;0;0;0
51.430.503/0001-38;2024-12-31;1;137352;Liderança;13;62;0;0;0
51.430.503/0001-38;2024-12-31;1;137352;Não-liderança;155;398;0;0;0
51.466.860/0001-56;2024-03-31;10;140392;Liderança;23;534;0;0;0
51.466.860/0001-56;2024-03-31;10;140392;Não-liderança;954;11131;0;0;0
51.928.174/0001-50;2024-12-31;3;139433;Liderança;22;189;0;0;0
51.928.174/0001-50;2024-12-31;3;139433;Não-liderança;680;1662;0;0;0
52.548.435/0001-79;2024-12-31;9;141858;Liderança;297;1094;0;0;0
52.548.435/0001-79;2024-12-31;9;141858;Não-liderança;5607;24853;0;0;0
53.113.791/0001-22;2024-12-31;5;141276;Liderança;575;967;0;0;0
53.113.791/0001-22;2024-12-31;5;141276;Não-liderança;3915;6192;0;0;0
56.643.018/0001-66;2024-12-31;2;140417;Liderança;36;183;0;0;0
56.643.018/0001-66;2024-12-31;2;140417;Não-liderança;491;2381;0;0;0
56.720.428/0001-63;2024-12-31;2;142036;Liderança;13;90;0;0;0
56.720.428/0001-63;2024-12-31;2;142036;Não-liderança;247;1372;0;0;0
56.992.423/0001-90;2024-12-31;1;137883;Liderança;0;6;0;0;0
56.992.423/0001-90;2024-12-31;1;137883;Não-liderança;5;19;0;0;0
58.119.199/0001-51;2024-12-31;4;141495;Liderança;82;49;1;2;53
58.119.199/0001-51;2024-12-31;4;141495;Não-liderança;884;305;2;7;521
58.430.828/0001-60;2024-12-31;3;139654;Liderança;58;72;0;0;0
58.430.828/0001-60;2024-12-31;3;139654;Não-liderança;922;650;0;0;0
59.105.999/0001-86;2024-12-31;5;141929;Liderança;51;109;0;0;0
59.105.999/0001-86;2024-12-31;5;141929;Não-liderança;5578;5569;0;0;0
59.285.411/0001-13;2024-12-31;10;141997;Liderança;173;299;0;0;0
59.285.411/0001-13;2024-12-31;10;141997;Não-liderança;954;1183;0;0;0
59.418.806/0001-47;2024-12-31;3;141815;Liderança;126;43;0;0;0
59.418.806/0001-47;2024-12-31;3;141815;Não-liderança;1133;302;2;1;0
59.717.553/0001-02;2024-12-31;4;142000;Liderança;136;269;0;0;0
59.717.553/0001-02;2024-12-31;4;142000;Não-liderança;2359;1829;0;0;0
59.789.545/0001-71;2024-12-31;1;137459;Liderança;0;0;0;0;0
59.789.545/0001-71;2024-12-31;1;137459;Não-liderança;0;0;0;0;0
59.981.829/0001-65;2024-12-31;1;138535;Liderança;84;285;0;0;0
59.981.829/0001-65;2024-12-31;1;138535;Não-liderança;1154;1605;0;0;0
60.444.437/0001-46;2024-12-31;4;141773;Liderança;39;107;0;0;0
60.444.437/0001-46;2024-12-31;4;141773;Não-liderança;770;3411;0;0;0
60.476.884/0001-87;2024-12-31;1;138391;Liderança;36;295;0;5;5
60.476.884/0001-87;2024-12-31;1;138391;Não-liderança;960;4927;13;94;259
60.537.263/0001-66;2024-12-31;2;138945;Liderança;53;202;0;0;0
60.537.263/0001-66;2024-12-31;2;138945;Não-liderança;1501;4311;0;0;0
60.543.816/0001-93;2024-12-31;5;141473;Liderança;83;55;0;0;0
60.543.816/0001-93;2024-12-31;5;141473;Não-liderança;173;119;0;0;0
60.651.809/0001-05;2024-12-31;1;137841;Liderança;5;3;0;0;0
60.651.809/0001-05;2024-12-31;1;137841;Não-liderança;12;6;0;0;0
60.730.348/0001-66;2024-12-31;2;141353;Liderança;20;36;0;0;0
60.730.348/0001-66;2024-12-31;2;141353;Não-liderança;89;248;0;0;0
60.746.948/0001-12;2024-12-31;12;141861;Liderança;3945;7193;0;0;0
60.746.948/0001-12;2024-12-31;12;141861;Não-liderança;39689;34765;0;0;0
60.840.055/0001-31;2024-12-31;3;141727;Liderança;1157;498;0;0;0
60.840.055/0001-31;2024-12-31;3;141727;Não-liderança;16615;4130;0;0;0
60.851.615/0001-53;2024-12-31;1;138362;Liderança;0;10;0;0;0
60.851.615/0001-53;2024-12-31;1;138362;Não-liderança;9;83;0;0;0
60.872.504/0001-23;2024-12-31;10;142022;Liderança;964;1158;3;0;11477
60.872.504/0001-23;2024-12-31;10;142022;Não-liderança;3642;3506;59;0;69080
60.884.319/0001-59;2024-12-31;1;137162;Liderança;0;1;0;0;0
60.884.319/0001-59;2024-12-31;1;137162;Não-liderança;1;0;0;0;0
60.894.730/0001-05;2024-12-31;8;141939;Liderança;50;247;0;0;0
60.894.730/0001-05;2024-12-31;8;141939;Não-liderança;1337;12294;0;0;0
61.022.042/0001-18;2024-12-31;2;141999;Liderança;15;19;0;0;0
61.022.042/0001-18;2024-12-31;2;141999;Não-liderança;33;66;0;0;0
61.065.298/0001-02;2024-12-31;1;138242;Liderança;10;52;0;0;0
61.065.298/0001-02;2024-12-31;1;138242;Não-liderança;227;1556;0;0;0
61.065.751/0001-80;2024-12-31;7;141670;Liderança;9;9;0;0;0
61.065.751/0001-80;2024-12-31;7;141670;Não-liderança;36;42;0;0;0
61.079.117/0001-05;2024-12-31;4;139694;Liderança;43;64;0;0;0
61.079.117/0001-05;2024-12-31;4;139694;Não-liderança;3333;8535;0;0;0
61.080.313/0001-91;2024-12-31;1;135983;Liderança;0;1;0;0;0
61.080.313/0001-91;2024-12-31;1;135983;Não-liderança;0;1;0;0;0
61.082.004/0001-50;2024-12-31;2;137248;Liderança;9;17;0;0;0
61.082.004/0001-50;2024-12-31;2;137248;Não-liderança;398;344;0;5;0
61.088.894/0001-08;2024-12-31;1;138091;Liderança;31;118;0;0;0
61.088.894/0001-08;2024-12-31;1;138091;Não-liderança;1177;1785;0;0;0
61.156.113/0001-75;2024-12-31;4;142100;Liderança;46;235;0;0;3
61.156.113/0001-75;2024-12-31;4;142100;Não-liderança;787;6545;12;12;681
61.156.931/0001-78;2024-12-31;1;137062;Liderança;0;3;0;0;0
61.156.931/0001-78;2024-12-31;1;137062;Não-liderança;8;42;0;0;0
61.186.680/0001-74;2024-12-31;7;142127;Liderança;70;184;0;0;0
61.186.680/0001-74;2024-12-31;7;142127;Não-liderança;516;512;0;0;0
61.189.288/0001-89;2024-12-31;3;140567;Liderança;732;216;0;0;0
61.189.288/0001-89;2024-12-31;3;140567;Não-liderança;3543;1140;0;0;0
61.190.096/0001-92;2024-12-31;5;141812;Liderança;205;494;0;0;0
61.190.096/0001-92;2024-12-31;5;141812;Não-liderança;2347;3516;0;0;0
61.351.532/0001-68;2024-12-31;8;142017;Liderança;4;7;0;0;0
61.351.532/0001-68;2024-12-31;8;142017;Não-liderança;26;45;0;0;0
61.374.161/0001-30;2024-12-31;1;138436;Liderança;12;27;0;0;0
61.374.161/0001-30;2024-12-31;1;138436;Não-liderança;93;262;0;0;0
61.409.892/0001-73;2024-12-31;5;142073;Liderança;51;317;0;0;37
61.409.892/0001-73;2024-12-31;5;142073;Não-liderança;850;3605;0;0;687
61.486.650/0001-83;2024-12-31;5;141355;Liderança;1905;836;0;0;0
61.486.650/0001-83;2024-12-31;5;141355;Não-liderança;36071;10372;0;0;0
61.532.644/0001-15;2024-12-31;3;141275;Liderança;13;3;0;0;0
61.532.644/0001-15;2024-12-31;3;141275;Não-liderança;38;31;0;0;0
61.584.140/0001-49;2024-12-31;1;138212;Liderança;0;0;0;0;1
61.584.140/0001-49;2024-12-31;1;138212;Não-liderança;0;0;0;0;1
61.585.865/0001-51;2024-12-31;1;138773;Liderança;2070;1318;4;8;611
61.585.865/0001-51;2024-12-31;1;138773;Não-liderança;20321;11403;200;245;21036
61.856.571/0001-17;2024-12-31;5;141897;Liderança;57;74;0;0;0
61.856.571/0001-17;2024-12-31;5;141897;Não-liderança;329;619;0;0;4
62.002.886/0001-60;2024-12-31;2;142125;Liderança;11;19;0;0;0
62.002.886/0001-60;2024-12-31;2;142125;Não-liderança;58;70;0;0;0
62.144.175/0001-20;2024-12-31;13;142074;Liderança;27;53;0;0;0
62.144.175/0001-20;2024-12-31;13;142074;Não-liderança;123;121;0;0;0
62.232.889/0001-90;2024-12-31;1;138602;Liderança;220;358;0;0;0
62.232.889/0001-90;2024-12-31;1;138602;Não-liderança;1555;1411;0;0;0
62.258.884/0001-36;2024-12-31;3;141371;Liderança;58;214;0;0;0
62.258.884/0001-36;2024-12-31;3;141371;Não-liderança;294;1137;0;0;0
62.984.091/0001-02;2024-12-31;6;141816;Liderança;127;121;0;0;0
62.984.091/0001-02;2024-12-31;6;141816;Não-liderança;4288;3206;0;0;0
64.904.295/0001-03;2024-02-28;5;139520;Liderança;87;234;0;0;0
64.904.295/0001-03;2024-02-28;5;139520;Não-liderança;1806;3730;0;0;0
64.904.295/0001-03;2024-02-29;2;133838;Liderança;87;234;0;0;0
64.904.295/0001-03;2024-02-29;2;133838;Não-liderança;1806;3730;0;0;0
67.010.660/0001-24;2024-12-31;4;142013;Liderança;39;69;0;0;0
67.010.660/0001-24;2024-12-31;4;142013;Não-liderança;201;279;0;0;0
67.571.414/0001-41;2024-12-31;6;142018;Liderança;7;18;0;0;0
67.571.414/0001-41;2024-12-31;6;142018;Não-liderança;33;23;0;0;0
67.620.377/0001-14;2024-12-31;2;140354;Liderança;360;1347;0;0;0
67.620.377/0001-14;2024-12-31;2;140354;Não-liderança;6160;16016;0;0;0
68.400.225/0001-79;2024-06-30;5;139657;Liderança;3;26;0;0;0
68.400.225/0001-79;2024-06-30;5;139657;Não-liderança;40;150;0;0;0
71.208.516/0001-74;2024-12-31;5;141440;Liderança;71;217;0;0;0
71.208.516/0001-74;2024-12-31;5;141440;Não-liderança;1060;2881;0;0;0
71.476.527/0001-35;2024-12-31;1;138501;Liderança;133;149;0;0;0
71.476.527/0001-35;2024-12-31;1;138501;Não-liderança;936;2365;0;0;0
73.178.600/0001-18;2024-12-31;3;141700;Liderança;203;185;0;0;0
73.178.600/0001-18;2024-12-31;3;141700;Não-liderança;1694;4096;0;0;0
75.315.333/0001-09;2024-12-31;3;141793;Liderança;2033;3435;0;0;0
75.315.333/0001-09;2024-12-31;3;141793;Não-liderança;74085;70800;0;0;0
75.609.123/0001-23;2024-12-31;4;138498;Liderança;38;128;0;0;0
75.609.123/0001-23;2024-12-31;4;138498;Não-liderança;445;1689;0;0;0
76.483.817/0001-20;2024-12-31;7;142113;Liderança;87;313;0;0;0
76.483.817/0001-20;2024-12-31;7;142113;Não-liderança;1170;4234;0;0;0
76.484.013/0001-45;2024-12-31;7;142046;Liderança;70;166;1;5;11
76.484.013/0001-45;2024-12-31;7;142046;Não-liderança;884;2756;29;232;569
76.535.764/0001-43;2024-12-31;9;142020;Liderança;439;785;0;0;0
76.535.764/0001-43;2024-12-31;9;142020;Não-liderança;6767;10704;0;0;0
79.430.682/0001-22;2024-12-31;4;139377;Liderança;297;180;0;0;0
79.430.682/0001-22;2024-12-31;4;139377;Não-liderança;4488;1851;0;0;0
80.680.093/0001-81;2024-12-31;2;141428;Liderança;40;64;0;0;117
80.680.093/0001-81;2024-12-31;2;141428;Não-liderança;451;664;0;1;1473
81.243.735/0001-48;2024-12-31;11;142048;Liderança;73;181;0;0;0
81.243.735/0001-48;2024-12-31;11;142048;Não-liderança;1330;1416;0;0;0
81.616.807/0001-55;2024-12-31;1;138413;Liderança;37;159;0;0;0
81.616.807/0001-55;2024-12-31;1;138413;Não-liderança;667;1349;0;0;0
82.120.676/0001-83;2024-12-31;1;138483;Liderança;40;49;0;0;0
82.120.676/0001-83;2024-12-31;1;138483;Não-liderança;369;439;0;0;0
82.508.433/0001-17;2024-12-31;5;142015;Liderança;77;226;0;0;0
82.508.433/0001-17;2024-12-31;5;142015;Não-liderança;466;1927;0;0;0
82.640.558/0001-04;2024-12-31;2;138142;Liderança;40;46;0;0;0
82.640.558/0001-04;2024-12-31;2;138142;Não-liderança;1388;952;0;0;0
82.643.537/0001-34;2024-12-31;2;138167;Liderança;0;0;0;0;92
82.643.537/0001-34;2024-12-31;2;138167;Não-liderança;0;0;0;0;1270
82.901.000/0001-27;2024-12-31;1;138561;Liderança;112;204;0;0;0
82.901.000/0001-27;2024-12-31;1;138561;Não-liderança;2031;2595;4;4;25
82.982.075/0001-80;2024-12-31;2;137679;Liderança;7;35;0;0;0
82.982.075/0001-80;2024-12-31;2;137679;Não-liderança;77;331;0;0;0
83.475.913/0001-91;2024-12-31;3;139857;Liderança;108;170;0;0;0
83.475.913/0001-91;2024-12-31;3;139857;Não-liderança;1176;2513;0;0;0
83.878.892/0001-55;2024-12-31;7;142150;Liderança;153;409;0;0;0
83.878.892/0001-55;2024-12-31;7;142150;Não-liderança;742;2462;0;0;0
84.429.695/0001-11;2024-12-31;3;141392;Liderança;218;1743;0;0;0
84.429.695/0001-11;2024-12-31;3;141392;Não-liderança;8493;29050;1;0;0
84.683.374/0001-49;2024-12-31;5;141764;Liderança;55;655;0;0;0
84.683.374/0001-49;2024-12-31;5;141764;Não-liderança;1818;17281;0;0;0
84.683.408/0001-03;2024-12-31;4;142129;Liderança;67;198;0;0;0
84.683.408/0001-03;2024-12-31;4;142129;Não-liderança;1154;1545;0;0;0
84.683.671/0001-94;2024-12-31;2;141224;Liderança;9;27;0;0;0
84.683.671/0001-94;2024-12-31;2;141224;Não-liderança;165;737;0;0;0
84.693.183/0001-68;2024-12-31;3;139230;Liderança;13;120;0;0;0
84.693.183/0001-68;2024-12-31;3;139230;Não-liderança;366;2960;0;0;0
85.041.333/0001-11;2024-12-31;1;138558;Liderança;0;10;0;0;0
85.041.333/0001-11;2024-12-31;1;138558;Não-liderança;25;229;0;0;0
85.778.074/0001-06;2024-12-31;3;138108;Liderança;3;47;0;0;0
85.778.074/0001-06;2024-12-31;3;138108;Não-liderança;108;645;0;0;0
86.375.425/0001-09;2024-12-31;3;141384;Liderança;2;26;0;0;0
86.375.425/0001-09;2024-12-31;3;141384;Não-liderança;22;1030;0;0;0
87.043.832/0001-73;2024-12-31;3;140596;Liderança;0;3;0;0;0
87.043.832/0001-73;2024-12-31;3;140596;Não-liderança;0;1;0;0;0
87.456.562/0001-22;2024-12-31;1;138655;Liderança;2;21;0;0;0
87.456.562/0001-22;2024-12-31;1;138655;Não-liderança;168;1220;0;0;0
87.762.563/0001-03;2024-12-31;2;139353;Liderança;12;23;0;0;0
87.762.563/0001-03;2024-12-31;2;139353;Não-liderança;93;114;0;0;0
87.870.952/0001-44;2024-12-31;2;140065;Liderança;17;97;0;0;0
87.870.952/0001-44;2024-12-31;2;140065;Não-liderança;618;1908;0;0;0
88.610.126/0001-29;2024-12-31;5;141922;Liderança;18;123;0;0;22
88.610.126/0001-29;2024-12-31;5;141922;Não-liderança;994;4018;0;0;0
88.610.191/0001-54;2024-12-31;2;141694;Liderança;36;72;0;0;0
88.610.191/0001-54;2024-12-31;2;141694;Não-liderança;976;1119;0;0;0
88.611.835/0001-29;2024-12-31;3;141385;Liderança;66;599;0;0;0
88.611.835/0001-29;2024-12-31;3;141385;Não-liderança;2352;8554;0;0;0
88.613.658/0001-10;2024-06-30;5;139863;Liderança;40;38;0;0;0
88.613.658/0001-10;2024-06-30;5;139863;Não-liderança;757;542;0;0;0
89.086.144/0001-16;2024-12-31;3;141604;Liderança;108;445;0;0;0
89.086.144/0001-16;2024-12-31;3;141604;Não-liderança;3020;11395;0;0;489
89.096.457/0001-55;2024-12-31;4;141989;Liderança;54;360;0;1;2
89.096.457/0001-55;2024-12-31;4;141989;Não-liderança;601;4726;1;3;9
89.463.822/0001-12;2024-12-31;9;141693;Liderança;9;24;0;0;0
89.463.822/0001-12;2024-12-31;9;141693;Não-liderança;98;290;0;0;0
89.637.490/0001-45;2024-12-31;4;142114;Liderança;0;0;0;0;1591
89.637.490/0001-45;2024-12-31;4;142114;Não-liderança;0;0;0;0;15934
89.850.341/0001-60;2024-12-31;3;141998;Liderança;156;365;1;0;50
89.850.341/0001-60;2024-12-31;3;141998;Não-liderança;6348;7989;26;1744;410
90.076.886/0001-40;2024-12-31;2;139398;Liderança;20;28;0;0;0
90.076.886/0001-40;2024-12-31;2;139398;Não-liderança;1414;1165;0;0;0
90.400.888/0001-42;2024-12-31;6;141520;Liderança;459;906;0;0;0
90.400.888/0001-42;2024-12-31;6;141520;Não-liderança;28504;25742;0;0;0
90.441.460/0001-48;2024-12-31;2;141584;Liderança;9;35;0;0;0
90.441.460/0001-48;2024-12-31;2;141584;Não-liderança;243;245;0;0;0
91.333.666/0001-17;2024-12-31;2;141243;Liderança;0;0;0;0;10
