CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813447;CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA.;04895728000180;;;;;;0.98900000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813448;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A. - Antiga CEMAR;06272793000184;;;;;;33.40500000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813449;FURNAS CENTRAIS ELÉTRICAS S/A;23274194000119;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813450;Lajeado Energia S/A;03460864000184;;;;;;40.06000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813451;Luziânia Niquelândia Transmissora;14863121000171;;;;;;49.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813452;Paulista Lajeado Energia S.A.;03491603000121;;;;;;40.06900000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813453;Rio Paranapanema Energia S.A.;02998301000181;;;;;;0.46800000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813454;CHAPADA DO PIAUÍ I HOLDING S.A.;20512213000100;;;;;;49.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813455;CHAPADA DO PIAUÍ II HOLDING S.A.;20512161000171;;;;;;49.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813456;ROUAR S.A.;00000000000000;;;;;;50.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813457;COMPANHIA CELG DE PARTICIPAÇÕES (CELGPAR);08560444000193;;;;;;0.02800000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811651;BSB ENERGÉTICA S.A.;03820456000196;;;;;;9.00000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811652;CEB GERAÇÃO S.A.;04232314000170;;;;;;100.00000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811653;CEB LAJEADO S.A.;03677638000150;;;;;;59.93000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811654;CEB PARTICIPAÇÕES S.A.;03682014000120;;;;;;100.00000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811655;COMPANHIA BRASILIENSE DE GÁS S.A.;04363670000123;;;;;;25.00000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811656;Corumbá Concessões S.A.;04066598000172;;;;;;32.52000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811657;Energética Corumbá III S.A.;04631430000162;;;;;;37.50000000;;;;;;;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;811658;CEB ILUMINAÇÃO PÚBLICA E SERVIÇOS S.A.;39683726000101;;;;;;100.00000000;;;;;;;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;813098;INTERGRAIN COMPANY S.A;09214167000120;;;;;;100.00000000;;;;;;;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;813099;Terminal São Simão S.A.;37227676000122;;;;;;49.00000000;;;;;;;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;813100;Terminal XXXIX de Santos S.A.;04244527000112;;;;;;50.00000000;;;;;;;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;813101;CEBRAGEL ARMAZÉNS CERRADO DO BRASIL LTDA;39350970000152;;;;;;23.72000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809899;Boa Hora 1 Geradora de Energia Solar S.A.;24302776000124;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809900;Boa Hora 2 Geradora de Energia Solar S.A.;24302787000104;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809901;Boa Hora 3 Geradora de Energia Solar S.A.;24302734000193;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809902;Guaimbê Solar Holding S.A.;30757186000199;;;;;;76.59000000;;;;;;;
