CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;18815;70;139;18540443;44.355000;0;0.000000;18540443;44.355000;2024-04-29
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-30
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;1557;27;6;6060257;63.821000;3036779;32.264000;9097036;48.112000;2024-04-30
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;0;4;1;0;0.000000;0;0.000000;0;0.000000;2014-12-26
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;7;1;0;10492663;34.034000;10492662;34.034000;20985325;34.034000;2024-04-05
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;2;0;0;1000;100.000000;0;0.000000;1000;100.000000;2021-05-04
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-25
02.016.507/0001-69;2024-12-31;1;135512;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-03-28
02.031.413/0001-69;2024-12-31;2;141433;PETRO RIO JAGUAR PETRÓLEO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-12-29
02.041.460/0001-93;2024-12-31;2;141894;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;0;2;3;0;0.000000;0;0.000000;0;0.000000;2024-07-18
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;0;1;1;0;0.000000;0;0.000000;0;0.000000;2024-07-18
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;127965;407;512;182560698;28.235000;0;0.000000;182560698;28.235000;2024-03-28
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;9834;586;86;103538752;100.000000;5410526;93.741000;108949278;99.669000;2024-07-11
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;4;1;0;2609000;100.000000;30;100.000000;2609030;100.000000;2012-04-30
02.217.319/0001-07;2024-12-31;6;141884;YBYRÁ CAPITAL S.A.;2;2;0;57121260;49.000000;116571000;99.997000;173692260;74.499000;2023-04-27
02.255.187/0001-08;2024-12-31;4;141971;UNIFIQUE TELECOMUNICAÇÕES S.A.;19913;130;81;90356595;24.957000;0;0.000000;90356595;24.957000;2024-04-30
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;0;1;0;0;0.000000;0;0.000000;0;0.000000;2012-05-03
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;0;7;0;28313622;100.000000;27649471;100.000000;55963093;100.000000;2022-11-11
02.286.479/0001-08;2024-12-31;1;138772;LOCALIZA FLEET S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-10
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;0;1;5;45000;45.000000;0;0.000000;45000;45.000000;2024-04-25
02.302.100/0001-06;2024-12-31;2;140674;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-30
02.302.101/0001-42;2024-12-31;7;142148;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;29828;212;28;1096;0.007000;5543467;24.924000;5544563;15.007000;2024-04-08
02.328.280/0001-97;2024-12-31;2;140925;ELEKTRO REDES S.A.;1702;15;8;25147;0.027000;598697;0.588000;623844;0.322000;2024-04-12
02.338.534/0001-58;2024-12-31;2;139125;LONGDIS S.A.;3;3;0;24027;0.223000;0;0.000000;24027;0.223000;2024-04-29
02.351.144/0001-18;2024-12-31;4;142003;TEGMA GESTAO LOGISTICA S.A.;11823;72;221;32001379;48.485000;0;0.000000;32001379;48.485000;2024-04-11
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;39218;281;475;420626825;70.470000;0;0.000000;420626825;70.470000;2024-04-30
02.357.251/0001-53;2024-12-31;1;138502;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;0;4;0;0;0.000000;0;0.000000;0;0.000000;2024-04-25
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;6386;47;8;35543161;44.725000;0;0.000000;35543161;44.725000;2024-04-26
02.382.073/0001-10;2024-12-31;2;140746;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;0;2;0;1;0.000000;0;0.000000;1;0.000000;2024-04-18
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;40305;292;1182;1854868949;100.000000;0;0.000000;1854868949;100.000000;2024-04-30
02.397.080/0001-96;2024-12-31;2;141431;ITAPEBI GERACAO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-16
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;1281983;223488;88;807495418;33.356000;0;0.000000;807495418;33.356000;2024-03-28
02.429.144/0001-93;2024-12-31;2;141286;CPFL ENERGIA S.A.;118271;5294;1257;187732538;16.293000;0;0.000000;187732538;16.293000;2024-04-26
02.451.848/0001-62;2024-12-31;2;139764;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-02-27
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;263061;7565;1094;255236938;31.282000;0;0.000000;255236938;31.282000;2024-04-25
02.502.844/0001-66;2024-12-31;4;139645;RUMO MALHA PAULISTA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
02.509.491/0001-26;2024-12-31;1;138048;CONC ECOVIAS IMIGRANTES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-16
