CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Centro-Oeste;2725;5699;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Exterior;4776;12004;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Nordeste;0;0;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Norte;298;616;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Sudeste;1274;2210;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Sul;888;2421;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Centro-Oeste;0;9;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Exterior;0;0;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Nordeste;3;21;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Norte;0;0;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Sudeste;153;438;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Sul;5;89;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Centro-Oeste;0;0;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Exterior;0;0;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Nordeste;0;0;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Norte;0;0;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Sudeste;0;0;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Sul;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Exterior;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Norte;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Sul;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Exterior;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Norte;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Sul;0;0;0;0;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;0;0;0;0;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0;0;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;4245;1282;33;77;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;690;359;0;0;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;1276;929;9;31;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;123;50;1;2;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Exterior;0;0;0;0;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Norte;0;0;0;0;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Sul;0;0;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Centro-Oeste;0;0;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Exterior;0;0;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Nordeste;0;0;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Norte;0;0;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Sudeste;346;562;1;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Sul;0;0;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Centro-Oeste;0;8;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Exterior;0;2;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Nordeste;23;33;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Norte;1;0;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Sudeste;155;161;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Sul;25;58;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Centro-Oeste;206;131;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Exterior;0;0;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Nordeste;0;0;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Norte;0;0;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Sudeste;2515;2310;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Sul;156;132;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Centro-Oeste;0;0;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Exterior;0;0;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Nordeste;0;0;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Norte;0;0;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Sudeste;313;1166;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Sul;0;0;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Centro-Oeste;4;21;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Exterior;0;0;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Nordeste;13;32;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Norte;1;13;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Sudeste;288;322;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Sul;4;4;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Centro-Oeste;0;0;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Exterior;0;0;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Nordeste;0;0;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Norte;0;0;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Sudeste;0;0;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Sul;879;3324;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Centro-Oeste;0;0;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Exterior;0;0;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Nordeste;99;660;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Norte;33;176;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Sudeste;231;352;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Sul;0;0;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Centro-Oeste;1;1;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Exterior;0;0;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Nordeste;2;3;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Norte;0;0;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Sudeste;60;77;1;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Sul;1;2;0;0;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Centro-Oeste;257;636;0;22;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Exterior;0;0;0;0;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Nordeste;1;2;0;0;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Norte;0;0;0;0;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Sudeste;102;136;0;10;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Sul;0;0;0;0;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Centro-Oeste;6;11;0;0;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Exterior;0;0;0;0;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Nordeste;0;0;0;0;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Norte;375;916;1;0;1
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Sudeste;0;0;0;0;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Sul;0;0;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Centro-Oeste;29;50;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Exterior;0;0;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Nordeste;38;84;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Norte;944;1686;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Sudeste;3;1;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Sul;0;0;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Centro-Oeste;0;0;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Exterior;0;0;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Nordeste;0;0;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Norte;6;5;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Sudeste;0;0;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Sul;0;0;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Centro-Oeste;0;0;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Exterior;0;0;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Nordeste;0;0;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Norte;1090;1487;0;4;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Sudeste;0;0;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Sul;0;0;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Centro-Oeste;641;893;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Exterior;0;0;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Nordeste;0;0;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Norte;0;0;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Sudeste;2665;4085;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Sul;0;0;0;0;0
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Centro-Oeste;78;35;0;0;0
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Exterior;3;2;0;0;0
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Nordeste;2912;2062;6;10;16
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Norte;1099;733;4;5;2
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Sudeste;342;274;0;0;1
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Sul;120;54;2;2;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Centro-Oeste;0;0;0;0;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Exterior;0;0;0;0;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Nordeste;0;0;0;0;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Norte;0;0;0;0;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Sudeste;76;187;0;0;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Sul;0;0;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Centro-Oeste;2332;716;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Exterior;0;0;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Nordeste;17012;6621;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Norte;2746;1086;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Sudeste;26941;8201;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Sul;3628;907;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Centro-Oeste;5;6;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Exterior;0;0;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Nordeste;26;30;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Norte;3;2;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Sudeste;569;342;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Sul;24;20;0;0;0
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Centro-Oeste;37;50;0;0;8
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Exterior;0;0;0;0;0
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Nordeste;254;337;0;0;54
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Norte;154;205;0;0;33
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Sudeste;564;747;0;0;121
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Sul;18;23;0;0;4
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Centro-Oeste;0;0;0;0;0
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Exterior;0;23;0;0;0
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Nordeste;32;67;0;0;0
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Norte;0;0;0;0;0
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Sudeste;81;74;0;0;0
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Sul;0;0;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Centro-Oeste;428;141;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Exterior;0;0;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Nordeste;11392;4093;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Norte;4189;1476;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Sudeste;37194;12059;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Sul;732;146;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Centro-Oeste;3992;3449;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Exterior;0;0;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Nordeste;10123;11863;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Norte;2224;2607;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Sudeste;21870;21859;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Sul;1161;1229;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Centro-Oeste;522;799;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Exterior;80;134;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Nordeste;509;712;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Norte;123;175;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Sudeste;4473;5730;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Sul;441;613;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Centro-Oeste;6;10;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Exterior;0;0;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Nordeste;465;1018;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Norte;0;0;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Sudeste;0;0;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Sul;0;0;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Centro-Oeste;1097;625;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Exterior;0;0;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Nordeste;9679;7087;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Norte;2148;1309;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Sudeste;2007;1169;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Sul;358;151;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Centro-Oeste;0;0;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Exterior;0;0;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Nordeste;0;0;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Norte;0;0;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Sudeste;0;0;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Sul;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Centro-Oeste;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Exterior;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Nordeste;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Norte;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Sudeste;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Sul;0;0;0;0;0
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Centro-Oeste;0;0;0;0;23
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Exterior;0;0;0;0;0
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Nordeste;0;0;0;0;29
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Norte;0;0;0;0;0
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Sudeste;0;0;0;0;412
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Sul;0;0;0;0;6
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Centro-Oeste;0;0;0;0;0
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Exterior;0;0;0;0;0
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Nordeste;427;735;0;0;0
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Norte;0;0;0;0;0
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Sudeste;0;0;0;0;0
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Sul;0;0;0;0;0
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Sudeste;0;0;0;0;2
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0
